company,trip_sum
flash_cab,19558
taxi_affiliation_services,11422
medallion_leasin,10367
yellow_cab,9888
taxi_affiliation_service_yellow,9299
chicago_carriage_cab_corp,9181
city_service,8448
sun_taxi,7701
star_north_management_llc,7455
blue_ribbon_taxi_association_inc,5953
choice_taxi_association,5015
globe_taxi,4383
dispatch_taxi_affiliation,3355
nova_taxi_affiliation_llc,3175
patriot_taxi_dba_peace_taxi_associat,2235
checker_taxi_affiliation,2216
blue_diamond,2070
chicago_medallion_management,1955
24_seven_taxi,1775
chicago_medallion_leasing_inc,1607
checker_taxi,1486
american_united,1404
chicago_independents,1296
koam_taxi_association,1259
chicago_taxicab,1014
top_cab_affiliation,978
gold_coast_taxi,428
service_taxi_association,402
5_star_taxi,310
303_taxi,250
setare_inc,230
american_united_taxi_affiliation,210
leonard_cab_co,147
metro_jet_taxi_a,146
norshore_cab,127
6742__83735_tasha_ride_inc,39
3591__63480_chuks_cab,37
1469__64126_omar_jada,36
6743__78771_luhak_corp,33
0118__42111_godfrey_sawir,33
6574__babylon_express_inc,31
chicago_star_taxicab,29
1085__72312_n_and_w_cab_co,29
2809__95474_c_and_d_cab_co_inc,29
2092__61288_sbeih_company,27
3011__66308_jbl_cab_inc,25
3620__52292_david_k_cab_corp,21
4615__83503_tyrone_henderson,21
3623__72222_arrington_enterprises,20
5074__54002_ahzmi_inc,16
2823__73307_lee_express_inc,15
4623__27290_jay_kim,15
3721__santamaria_express_alvaro_santamaria,14
5006__39261_salifu_bawa,14
2192__73487_zeymane_corp,14
6057__24657_richard_addo,13
5997__65283_aw_services_inc,12
metro_group,11
5062__34841_sam_mestas,8
4053__40193_adwar_h_nikola,7
2733__74600_benny_jona,7
5874__73628_sergey_cab_corp,5
2241__44667__felman_corp_manuel_alonso,3
3556__36214_rc_andrews_cab,2
