destination,trip_average
loop,10727.47
river_north,9523.67
streeterville,6664.67
west_loop,5163.67
ohare,2546.9
lake_view,2420.97
grant_park,2068.53
museum_campus,1510.0
gold_coast,1364.23
sheffield_and_depaul,1259.77
lincoln_park,1246.53
east_village,1212.07
little_italy,863.7
uptown,849.67
near_south_side,839.83
garfield_ridge,745.4
logan_square,620.33
edgewater,583.3
west_town,516.4
old_town,469.57
rush_and_division,395.53
north_center,393.27
lincoln_square,356.73
rogers_park,299.03
west_ridge,298.33
irving_park,296.57
hyde_park,255.13
avondale,208.23
wicker_park,182.6
albany_park,180.9
united_center,178.9
lower_west_side,143.3
douglas,142.9
portage_park,119.73
humboldt_park,97.87
norwood_park,95.23
kenwood,89.37
bridgeport,77.1
armour_square,77.03
jefferson_park,74.33
bucktown,74.3
north_park,67.83
garfield_park,65.77
mckinley_park,64.03
belmont_cragin,59.03
boystown,53.97
chinatown,52.43
grand_boulevard,51.6
austin,44.43
forest_glen,43.57
south_shore,40.53
woodlawn,36.17
little_village,33.8
jackson_park,33.1
north_lawndale,32.17
dunning,30.17
ukrainian_village,27.6
hermosa,27.57
englewood,25.43
chatham,23.2
new_city,22.93
grand_crossing,22.6
brighton_park,19.47
andersonville,16.87
oakland,16.63
ashburn,16.13
washington_park,16.03
auburn_gresham,15.17
clearing,14.5
roseland,14.37
wrigleyville,14.23
edison_park,14.17
south_chicago,13.0
chicago_lawn,12.27
beverly,10.5
calumet_heights,9.57
washington_heights,9.13
archer_heights,8.37
gage_park,8.23
fuller_park,8.17
west_lawn,7.73
morgan_park,7.7
south_deering,7.5
avalon_park,6.97
west_pullman,6.47
montclare,5.77
west_elsdon,5.67
pullman,3.9
undefined,3.8
mount_greenwood,3.14
hegewisch,3.12
burnside,2.33
east_side,1.96
riverdale,1.8
